ipnr17,v313_dk,v314_dk,v315_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
FU485078,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,65.0,Gift eller reg. partnerskab,1 barn,,Lang vid. udd,Mellemlange vid. udd,Uoplyst,Mellemlange vid. udd,2,2,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU274746,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Female,48.0,Papirløst partnerskab,1 barn,,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Socialdemokraterne,Nej,ja
FU140501,Elementary school or unknown,150.000-250.000,Female,65.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,,Socialdemokraterne,Ja,ja
FU491380,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,54.0,Enlig,1 barn,,Lang vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,5.0,Det Radikale Venstre,Nej,ja
CZ186548,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,53.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Lang vid. udd,Lang vid. udd,Korte vid. udd,Korte vid. udd,4,4,5.0,Det Radikale Venstre,Nej,nej
FU578164,Secondary education,<150.0000,Female,25.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Lang vid. udd,Mellemlange vid. udd,Ukendt,77,1.0,Socialistisk Folkeparti,Ja,ja
FU371943,Secondary education,350.000<,Male,45.0,Gift eller reg. partnerskab,3 børn,,Grundskole og gym.,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,4,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ228322,Medium-cycle tertiary eduation,150.000-250.000,Female,72.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,3.0,Det Radikale Venstre,Ja,ja
FU568569,Secondary education,150.000-250.000,Male,39.0,Gift eller reg. partnerskab,5 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Uoplyst,2,4,4.0,Alternativet,Ja,nej
CZ795918,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,64.0,Papirløst partnerskab,2 børn,Mellemstore byer,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,Lang vid. udd,3,4,5.0,Socialistisk Folkeparti,Ja,ja
CZ420556,Short-cycle tertiary eduation,150.000-250.000,Female,72.0,Skilt,2 børn,De 3 store provinsbyer,Korte vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,77,2.0,Enhedslisten m.fl.,Nej,nej
FU252982,Elementary school or unknown,150.000-250.000,Female,48.0,Separeret,3 børn,,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Korte vid. udd,3,77,2.0,Enhedslisten m.fl.,Ja,nej
CZ254798,Medium-cycle tertiary eduation,250.000-350.000,Male,52.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Socialistisk Folkeparti,Ja,ja
FU747648,Secondary education,<150.0000,Male,72.0,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,3,77,1.0,Det Konservative Folkeparti,,ja
CZ513323,Secondary education,250.000-350.000,Male,47.0,Gift eller reg. partnerskab,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,1,3.0,Socialdemokraterne,Nej,ja
CZ369179,Medium-cycle tertiary eduation,150.000-250.000,Female,34.0,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Lang vid. udd,Mellemlange vid. udd,3,4,5.0,Vil stemme blankt,Nej,nej
CZ511832,Secondary education,150.000-250.000,Female,34.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Lang vid. udd,2,2,,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ263128,Medium-cycle tertiary eduation,150.000-250.000,Male,68.0,Enlig,1 barn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,2.0,Socialdemokraterne,Ja,ja
FU859291,Secondary education,250.000-350.000,Male,51.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Uoplyst,2,4,2.0,Socialdemokraterne,Nej,ja
CZ338395,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,41.0,Skilt,2 børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,77,4.0,Alternativet,Nej,nej
FU509952,Secondary education,<150.0000,Female,,Uoplyst,Uoplyst,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ354326,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,71.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Lang vid. udd,Lang vid. udd,4,4,5.0,Det Radikale Venstre,Nej,nej
FU501326,Elementary school or unknown,<150.0000,Female,70.0,Gift eller reg. partnerskab,4 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,1,2,1.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU311612,Secondary education,<150.0000,Male,45.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5.0,Enhedslisten m.fl.,Nej,ja
FU774985,Secondary education,<150.0000,Male,69.0,Papirløst partnerskab,1 barn,,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,3,4,1.0,,Ja,ja
CZ890586,Elementary school or unknown,<150.0000,Male,27.0,Papirløst partnerskab,Ingen børn,Mellemstore byer,Mellemlange vid. udd,Grundskole og gym.,Mellemlange vid. udd,Korte vid. udd,4,2,2.0,Det Konservative Folkeparti,Nej,ja
FU847533,Short-cycle tertiary eduation,350.000<,Male,48.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,3,3,,Det Konservative Folkeparti,Ja,ja
FU772961,Secondary education,<150.0000,Female,40.0,Enlig,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
FU619919,Medium-cycle tertiary eduation,350.000<,Male,32.0,Gift eller reg. partnerskab,4 børn,,Mellemlange vid. udd,Korte vid. udd,Korte vid. udd,Korte vid. udd,4,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,nej
FU709665,Secondary education,250.000-350.000,Male,37.0,Skilt,2 børn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Korte vid. udd,2,77,1.0,Dansk Folkeparti,Nej,ja
CZ671178,Secondary education,<150.0000,Male,81.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,1,1.0,,Nej,ja
CZ794064,Elementary school or unknown,<150.0000,Female,70.0,Enke/enkemand,5 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,1,77,,Dansk Folkeparti,Nej,ja
FU259808,Elementary school or unknown,150.000-250.000,Female,46.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Uoplyst,Grundskole og gym.,Grundskole og gym.,2,2,,"Venstre, Danmarks Liberale Parti",Nej,ja
FU201273,Medium-cycle tertiary eduation,150.000-250.000,Female,72.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,3,2,2.0,Socialdemokraterne,Nej,ja
FU367820,Secondary education,150.000-250.000,Male,75.0,Skilt,2 børn,,Uoplyst,Irrelevant,Uoplyst,Uoplyst,4,77,2.0,Vil stemme blankt,Nej,ja
FU569562,Secondary education,<150.0000,Male,52.0,Gift eller reg. partnerskab,4 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,2,2.0,Dansk Folkeparti,Ja,ja
CZ194376,Elementary school or unknown,250.000-350.000,Male,48.0,Gift eller reg. partnerskab,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,4.0,,Ja,ja
CZ140437,Secondary education,<150.0000,Female,23.0,Enlig,Ingen børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU764032,Secondary education,150.000-250.000,Female,65.0,Enlig,2 børn,,Grundskole og gym.,Irrelevant,Uoplyst,Uoplyst,2,77,2.0,Socialdemokraterne,Ja,ja
CZ776989,"Long-cycle tertiary eduation, Ph.D",<150.0000,Female,53.0,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,Lang vid. udd,4,4,4.0,Dansk Folkeparti,Nej,nej
FU546352,Secondary education,<150.0000,Female,48.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,1.0,Dansk Folkeparti,Ja,ja
FU893592,Secondary education,<150.0000,Female,71.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Dansk Folkeparti,Nej,ja
CZ306217,Secondary education,250.000-350.000,Female,58.0,Papirløst partnerskab,2 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,2,2,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ630092,Secondary education,150.000-250.000,Male,24.0,Enlig,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Lang vid. udd,Lang vid. udd,3,77,4.0,Det Radikale Venstre,Nej,ja
CZ296621,Secondary education,150.000-250.000,Male,70.0,Gift eller reg. partnerskab,1 barn,De 3 store provinsbyer,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Det Konservative Folkeparti,Ja,ja
CZ419859,Secondary education,<150.0000,Female,66.0,Enlig,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Ja,ja
FU784456,Secondary education,350.000<,Male,53.0,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Lang vid. udd,2,77,2.0,Nye Borgerlige,Ja,ja
FU772171,Elementary school or unknown,<150.0000,Male,45.0,Enlig,1 barn,,Grundskole og gym.,Irrelevant,Uoplyst,Uoplyst,2,77,1.0,Socialdemokraterne,Nej,ja
CZ803860,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,2,77,1.0,Det Radikale Venstre,Nej,ja
FU532108,Elementary school or unknown,150.000-250.000,Female,58.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Socialdemokraterne,Nej,ja
CZ743477,Elementary school or unknown,250.000-350.000,Female,36.0,Gift eller reg. partnerskab,3 børn,Mindre byer,Lang vid. udd,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,4,4,2.0,Socialistisk Folkeparti,Nej,ja
FU780023,Medium-cycle tertiary eduation,350.000<,Male,54.0,Gift eller reg. partnerskab,6 børn eller flere,,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,2,5.0,Det Konservative Folkeparti,Ja,ja
CZ536981,Medium-cycle tertiary eduation,350.000<,Female,47.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5.0,Det Radikale Venstre,Ja,ja
FU134118,Elementary school or unknown,<150.0000,Male,63.0,Papirløst partnerskab,2 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,2.0,Enhedslisten m.fl.,Ja,nej
FU567138,Secondary education,350.000<,Male,51.0,Gift eller reg. partnerskab,4 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Korte vid. udd,3,2,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ866334,Secondary education,250.000-350.000,Female,34.0,Enlig,1 barn,Landområder og landsbyer,Korte vid. udd,Irrelevant,Korte vid. udd,Mellemlange vid. udd,4,77,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ374646,Medium-cycle tertiary eduation,250.000-350.000,Female,30.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Korte vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,4,3,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU283192,Secondary education,150.000-250.000,Male,55.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,2,3,2.0,Socialdemokraterne,Ja,ja
FU798665,Short-cycle tertiary eduation,350.000<,Male,35.0,Enlig,Ingen børn,,Korte vid. udd,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,3,77,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
CZ890191,Secondary education,150.000-250.000,Male,69.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,2.0,Dansk Folkeparti,Nej,nej
CZ863176,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,31.0,Papirløst partnerskab,2 børn,Mindre byer,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,5.0,Det Radikale Venstre,Nej,ja
FU173247,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Lang vid. udd,2,77,,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ629530,Elementary school or unknown,<150.0000,Male,60.0,Enlig,2 børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,2,77,1.0,Dansk Folkeparti,Ja,ja
CZ139973,Secondary education,350.000<,Male,65.0,Enlig,Ingen børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Korte vid. udd,Erhvervsfaglige uddannelser,4,77,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ457982,Secondary education,150.000-250.000,Male,55.0,Enlig,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,Dansk Folkeparti,Nej,ja
FU605738,Secondary education,<150.0000,Female,82.0,Enke/enkemand,2 børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,3,77,1.0,Socialdemokraterne,Ja,ja
CZ704954,Secondary education,150.000-250.000,Male,32.0,Enlig,Ingen børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,3.0,Dansk Folkeparti,Nej,ja
CZ787341,Medium-cycle tertiary eduation,350.000<,Female,47.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,3,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ113229,Medium-cycle tertiary eduation,250.000-350.000,Female,47.0,Papirløst partnerskab,4 børn,Større provinsbyer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,Erhvervsfaglige uddannelser,3,3,4.0,Det Konservative Folkeparti,Ja,nej
CZ488410,Secondary education,<150.0000,Male,23.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,1.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
CZ838269,Short-cycle tertiary eduation,150.000-250.000,Female,56.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,4.0,Enhedslisten m.fl.,Nej,ja
CZ681365,Secondary education,250.000-350.000,Female,36.0,Enlig,2 børn,Mindre byer,Korte vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,77,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU554936,Secondary education,150.000-250.000,Female,73.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,3.0,Socialdemokraterne,Ja,ja
CZ138784,Secondary education,<150.0000,Male,73.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,3.0,Socialdemokraterne,Nej,ja
FU524898,Elementary school or unknown,150.000-250.000,Female,51.0,Separeret,2 børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,1,77,1.0,Enhedslisten m.fl.,Nej,ja
CZ811790,Secondary education,150.000-250.000,Male,50.0,Gift eller reg. partnerskab,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,4.0,Socialdemokraterne,Nej,nej
CZ359025,Elementary school or unknown,<150.0000,Female,58.0,Gift eller reg. partnerskab,Ingen børn,Landområder og landsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Korte vid. udd,1,2,3.0,Dansk Folkeparti,Nej,ja
CZ375123,Medium-cycle tertiary eduation,<150.0000,Male,25.0,Enlig,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,nej
FU258392,Elementary school or unknown,<150.0000,Female,72.0,Gift eller reg. partnerskab,3 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Ukendt,2,1.0,Dansk Folkeparti,Nej,ja
CZ337094,Secondary education,150.000-250.000,Female,48.0,Skilt,4 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,1.0,Dansk Folkeparti,Nej,nej
CZ572902,Medium-cycle tertiary eduation,350.000<,Male,57.0,Gift eller reg. partnerskab,4 børn,Landområder og landsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,5.0,Nye Borgerlige,Ja,nej
CZ527076,Secondary education,350.000<,Female,55.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Korte vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,3,4,5.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU631714,Secondary education,350.000<,Male,43.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,4,3.0,Dansk Folkeparti,Ja,ja
FU586832,Secondary education,150.000-250.000,Female,69.0,Skilt,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,Dansk Folkeparti,Nej,nej
FU465893,Secondary education,150.000-250.000,Male,42.0,Gift eller reg. partnerskab,3 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,3,4,3.0,Socialistisk Folkeparti,Nej,nej
CZ536760,Secondary education,<150.0000,Male,83.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Socialistisk Folkeparti,Nej,ja
FU688042,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,67.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,4,3.0,Enhedslisten m.fl.,Ja,ja
FU887950,Elementary school or unknown,150.000-250.000,Female,32.0,Gift eller reg. partnerskab,1 barn,,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ806996,Elementary school or unknown,<150.0000,Female,73.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,2,1.0,Socialistisk Folkeparti,Ja,ja
CZ535805,Medium-cycle tertiary eduation,250.000-350.000,Female,35.0,Enlig,Ingen børn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Lang vid. udd,Lang vid. udd,4,77,2.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU492679,Short-cycle tertiary eduation,350.000<,Female,41.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,4,4,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ419534,Secondary education,150.000-250.000,Male,65.0,Skilt,3 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,Socialdemokraterne,Ja,ja
CZ504735,Elementary school or unknown,<150.0000,Male,66.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,4.0,Socialdemokraterne,Nej,nej
CZ325634,Secondary education,350.000<,Male,46.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ143738,Medium-cycle tertiary eduation,250.000-350.000,Female,65.0,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,77,,Socialistisk Folkeparti,Ja,nej
CZ620951,Secondary education,150.000-250.000,Male,43.0,Papirløst partnerskab,Ingen børn,Større provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,4,2.0,Socialistisk Folkeparti,Nej,nej
CZ897162,Elementary school or unknown,150.000-250.000,Female,84.0,Skilt,4 børn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,Ukendt,77,1.0,Socialdemokraterne,Nej,ja
FU178199,Secondary education,150.000-250.000,Female,40.0,Gift eller reg. partnerskab,4 børn,,Grundskole og gym.,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Ukendt,3,4.0,Socialistisk Folkeparti,Nej,ja
CZ887988,Elementary school or unknown,150.000-250.000,Female,34.0,Enlig,2 børn,Mellemstore byer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,3,77,1.0,Socialdemokraterne,Nej,ja
FU595080,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Male,86.0,Enke/enkemand,2 børn,,Lang vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,2.0,Det Konservative Folkeparti,Ja,ja
FU508467,Secondary education,250.000-350.000,Male,29.0,Papirløst partnerskab,Ingen børn,,Uoplyst,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,3,4,4.0,Socialdemokraterne,Ja,ja
CZ522635,Secondary education,150.000-250.000,Male,74.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,3,3,2.0,Det Konservative Folkeparti,Nej,ja
FU442930,Secondary education,250.000-350.000,Male,51.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,2,3,5.0,Dansk Folkeparti,Nej,ja
FU501321,Short-cycle tertiary eduation,150.000-250.000,Male,54.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,4.0,Dansk Folkeparti,Nej,ja
FU272082,Medium-cycle tertiary eduation,150.000-250.000,Female,65.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,4,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ414048,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Male,39.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Korte vid. udd,4,4,2.0,Enhedslisten m.fl.,Ja,nej
FU312145,Secondary education,150.000-250.000,Female,66.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,3,2.0,Socialistisk Folkeparti,Ja,ja
FU256295,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,50.0,Papirløst partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,3.0,Det Radikale Venstre,Nej,ja
CZ710656,Secondary education,150.000-250.000,Male,69.0,Enlig,Ingen børn,Mindre byer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,2,77,1.0,Dansk Folkeparti,Nej,ja
CZ530776,Secondary education,150.000-250.000,Female,55.0,Enlig,1 barn,De 3 store provinsbyer,Korte vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,4.0,Enhedslisten m.fl.,Ja,ja
