v57,v58,v59,v60,v61,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v297_dk,v298_dk,v299_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken,ipnr17
Nej,Nægter at svare,Nej,Nej,Nægter at svare,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Temmelig dårligt,8.,2.,3.,5.,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,5.,En eller to gange om ugen,Sjældent,En eller to gange om ugen,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,39,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4,Det Radikale Venstre,Nej,ja,FU764350
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Slet ingen tillid,Ikke særlig stor tillid,Temmelig dårligt,5.,2.,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,5.,Aldrig,Aldrig,Aldrig,I mindre grad,I mindre grad,Til en vis grad,Slet ikke,I nogen grad,I høj grad,Til en vis grad,Slet ikke,I høj grad,Slet ikke vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Secondary education,<150.0000,Female,26,Papirløst partnerskab,1 barn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Ukendt,4,3,Vil stemme blankt,Nej,ja,FU312939
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Hverken godt eller dårligt,5.,4.,4.,9.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,5.,Aldrig,Flere gange om ugen,Sjældent,I mindre grad,I mindre grad,I mindre grad,I mindre grad,I mindre grad,I nogen grad,I mindre grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,39,Gift eller reg. partnerskab,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Korte vid. udd,4,4,5,"Venstre, Danmarks Liberale Parti",Nej,ja,CZ895899
Nej,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Hverken godt eller dårligt,8.,4.,4.,5.,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,4.,Sjældent,Flere gange om ugen,Hver dag,I nogen grad,I nogen grad,I nogen grad,Til en vis grad,I nogen grad,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Medium-cycle tertiary eduation,350.000<,Male,50,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,5,"Venstre, Danmarks Liberale Parti",Ja,ja,CZ604628
Ja,Nej,Ved ikke,Ved ikke,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Nægter at svare,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Hverken godt eller dårligt,5.,1. Indvandrere gør problemerne med kriminalitet værre,5.,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,5.,Ved ikke,Flere gange om ugen,Flere gange om ugen,I nogen grad,I nogen grad,Til en vis grad,I mindre grad,I nogen grad,I nogen grad,Til en vis grad,I mindre grad,I nogen grad,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Secondary education,<150.0000,Male,76,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Uoplyst,Mellemlange vid. udd,Grundskole og gym.,2,77,2,"Venstre, Danmarks Liberale Parti",Nej,ja,FU875703
Ja,Ja,Ja,Ja,Ja,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,5.,2.,5.,5.,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Slet ikke vigtigt,Temmelig vigtigt,8.,Aldrig,Flere gange om ugen,Flere gange om ugen,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I høj grad,I høj grad,Til en vis grad,I høj grad,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Elementary school or unknown,<150.0000,Male,22,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Uoplyst,2,77,1,Dansk Folkeparti,Nej,ja,FU110617
Nej,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,7.,6.,5.,4.,Ikke særlig vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,10. Udvidelsen er gået for vidt,Flere gange om ugen,Aldrig,Hver dag,I mindre grad,Slet ikke,Slet ikke,I mindre grad,Slet ikke,I nogen grad,Slet ikke,Slet ikke,I mindre grad,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Female,30,Papirløst partnerskab,Ingen børn,,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,3,3,Socialdemokraterne,Ja,ja,FU103959
Ja,Nej,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Hverken godt eller dårligt,7.,7.,8.,6.,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,5.,Flere gange om ugen,Hver dag,Hver dag,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I høj grad,I nogen grad,I nogen grad,I høj grad,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Medium-cycle tertiary eduation,150.000-250.000,Female,58,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,4,Det Radikale Venstre,Nej,ja,CZ473997
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Nægter at svare,Ret stor tillid,Nægter at svare,Ret stor tillid,Ret stor tillid,Nægter at svare,Nægter at svare,Ret stor tillid,Nægter at svare,Ret stor tillid,Nægter at svare,Nægter at svare,Ikke særlig stor tillid,Nægter at svare,Hverken godt eller dårligt,5.,Ved ikke,Ved ikke,5.,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,2.,Sjældent,Hver dag,Aldrig,Til en vis grad,Til en vis grad,Til en vis grad,Nægter at svare,Nægter at svare,I høj grad,Til en vis grad,Til en vis grad,I høj grad,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Medium-cycle tertiary eduation,350.000<,Female,91,Enke/enkemand,Ingen børn,Mellemstore byer,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,4,77,,,Nej,ja,CZ299665
Nej,Nej,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Nægter at svare,Ret stor tillid,Ret stor tillid,Temmelig godt,9.,3.,5.,5.,Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,6.,Aldrig,Sjældent,En eller to gange om ugen,Til en vis grad,I mindre grad,I nogen grad,Til en vis grad,I høj grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Meget vigtigt,Medium-cycle tertiary eduation,150.000-250.000,Female,42,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Ukendt,4,2,Det Radikale Venstre,Ja,ja,CZ562289
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig godt,8.,2.,2.,6.,Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Meget vigtigt,6.,Flere gange om ugen,Flere gange om ugen,Sjældent,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Elementary school or unknown,250.000-350.000,Male,52,Skilt,2 børn,,Korte vid. udd,Irrelevant,Grundskole og gym.,Korte vid. udd,4,77,4,"Venstre, Danmarks Liberale Parti",Ja,nej,FU759955
Nej,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig dårligt,7.,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,10. Udvidelsen er gået for vidt,En eller to gange om ugen,Sjældent,En eller to gange om ugen,Til en vis grad,I mindre grad,I mindre grad,I mindre grad,I mindre grad,I nogen grad,I nogen grad,I mindre grad,I nogen grad,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Secondary education,150.000-250.000,Male,29,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2,Dansk Folkeparti,Nej,ja,FU394228
Ja,Nej,Nej,Nej,Ja,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Slet ingen tillid,Meget stor tillid,Ikke særlig stor tillid,Meget stor tillid,Meget stor tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Slet ingen tillid,Meget dårligt,10. Indvandrere tager ikke jobs fra danskere,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,10. Udvidelsen er gået for vidt,Sjældent,Sjældent,Aldrig,I høj grad,I høj grad,I høj grad,Til en vis grad,Til en vis grad,I høj grad,I nogen grad,I mindre grad,I høj grad,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Elementary school or unknown,250.000-350.000,Female,64,Papirløst partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,1,2,3,Dansk Folkeparti,Nej,ja,CZ342150
Nej,Ja,Nej,Nej,Nej,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget godt,9.,2.,4.,9.,Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,8.,Hver dag,Hver dag,Hver dag,I høj grad,Til en vis grad,Til en vis grad,I mindre grad,Slet ikke,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Secondary education,350.000<,Male,54,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Erhvervsfaglige uddannelser,Korte vid. udd,Korte vid. udd,Mellemlange vid. udd,2,3,5,"Venstre, Danmarks Liberale Parti",Ja,ja,CZ172354
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,8.,10. Indvandrere gør ikke problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Meget vigtigt,8.,Flere gange om ugen,Hver dag,Sjældent,I høj grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I høj grad,I høj grad,I nogen grad,I høj grad,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Secondary education,250.000-350.000,Male,69,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,4,"Venstre, Danmarks Liberale Parti",Nej,ja,CZ861420
Ja,Ja,Nej,Ja,Nej,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig dårligt,3.,2.,3.,3.,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,7.,Hver dag,Hver dag,Hver dag,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,I nogen grad,Til en vis grad,I nogen grad,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Secondary education,150.000-250.000,Female,69,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,3,Socialdemokraterne,Nej,ja,CZ772973
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,10. Indvandrere tager ikke jobs fra danskere,9.,3.,4.,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,6.,Sjældent,Flere gange om ugen,Aldrig,Slet ikke,Slet ikke,I mindre grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I mindre grad,Til en vis grad,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,49,Papirløst partnerskab,3 børn,,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,5,Socialdemokraterne,Nej,ja,FU665991
Ja,Nej,Nej,Nej,Nej,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig dårligt,5.,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,5.,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,1. Udvidelsen skal fortsætte,Hver dag,Flere gange om ugen,Hver dag,I nogen grad,I nogen grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Secondary education,150.000-250.000,Male,72,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,2,Det Konservative Folkeparti,Nej,ja,FU427466
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Temmelig godt,8.,6.,8.,5.,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Ikke særlig vigtigt,5.,En eller to gange om ugen,Sjældent,Flere gange om ugen,I nogen grad,Til en vis grad,Til en vis grad,I mindre grad,Til en vis grad,I nogen grad,Til en vis grad,I nogen grad,I nogen grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Elementary school or unknown,<150.0000,Male,20,Enlig,Ingen børn,Mindre byer,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Lang vid. udd,2,77,4,Det Radikale Venstre,Ja,ja,CZ197670
Ja,Nægter at svare,Nej,Nægter at svare,Nej,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,5.,2.,3.,9.,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,9.,Hver dag,Hver dag,Aldrig,I nogen grad,I nogen grad,I nogen grad,Til en vis grad,I mindre grad,I høj grad,I nogen grad,I mindre grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Secondary education,150.000-250.000,Male,78,Skilt,1 barn,Større provinsbyer,Korte vid. udd,Irrelevant,Grundskole og gym.,Mellemlange vid. udd,3,77,2,"Venstre, Danmarks Liberale Parti",Nej,ja,CZ649980
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,4.,5.,4.,5.,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,8.,Sjældent,Hver dag,Aldrig,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,I nogen grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Meget vigtigt,Elementary school or unknown,150.000-250.000,Female,64,Gift eller reg. partnerskab,Ingen børn,Mellemstore byer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,1,2,3,Socialdemokraterne,Nej,ja,CZ706384
Nej,Nej,Nej,Nej,Nej,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig dårligt,8.,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,8.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,8.,Sjældent,Flere gange om ugen,Hver dag,I høj grad,I nogen grad,Til en vis grad,I mindre grad,Til en vis grad,I nogen grad,I mindre grad,I mindre grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,41,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5,"Venstre, Danmarks Liberale Parti",Nej,ja,FU421844
