,ipnr17,v297_dk,v298_dk,v299_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
718,CZ742089,Secondary education,350.000<,Male,72.0,Gift eller reg. partnerskab,4 børn,Mindre byer,Korte vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,4,2,4.0,Socialistisk Folkeparti,Nej,nej
719,FU175863,Secondary education,350.000<,Male,66.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,2,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
720,CZ829814,Secondary education,150.000-250.000,Male,41.0,Papirløst partnerskab,2 børn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,1,2,3.0,,Nej,ja
721,CZ802636,Medium-cycle tertiary eduation,250.000-350.000,Male,56.0,Gift eller reg. partnerskab,4 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5.0,Socialdemokraterne,Nej,ja
722,CZ365789,Elementary school or unknown,150.000-250.000,Female,48.0,Papirløst partnerskab,3 børn,Landområder og landsbyer,Grundskole og gym.,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,3.0,,Ja,ja
723,FU898074,Secondary education,250.000-350.000,Male,55.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Socialdemokraterne,Nej,nej
724,CZ426473,Medium-cycle tertiary eduation,350.000<,Female,53.0,Gift eller reg. partnerskab,2 børn,Mindre byer,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,2,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
725,FU509362,Elementary school or unknown,250.000-350.000,Female,50.0,Enlig,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,2,77,1.0,,Nej,nej
726,CZ733289,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,77,5.0,Socialdemokraterne,Ja,ja
727,CZ436723,Secondary education,<150.0000,Female,70.0,Papirløst partnerskab,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Uoplyst,2,2,,,Nej,ja
728,FU613776,Elementary school or unknown,<150.0000,Female,20.0,Enlig,Ingen børn,,Uoplyst,Irrelevant,Korte vid. udd,Mellemlange vid. udd,2,77,2.0,Socialdemokraterne,Ja,nej
729,FU687870,Medium-cycle tertiary eduation,150.000-250.000,Male,45.0,Enlig,1 barn,,Uoplyst,Irrelevant,Korte vid. udd,Korte vid. udd,4,77,1.0,Det Konservative Folkeparti,Ja,ja
730,FU483282,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,35.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,4,4,5.0,Det Radikale Venstre,Nej,nej
731,FU144546,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,54.0,Skilt,2 børn,,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,4,77,2.0,Alternativet,Ja,nej
732,CZ846424,Medium-cycle tertiary eduation,350.000<,Female,51.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Lang vid. udd,4,4,4.0,Det Radikale Venstre,Ja,ja
733,FU854586,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,52.0,Skilt,2 børn,,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,4,77,5.0,Det Konservative Folkeparti,Nej,ja
734,CZ132980,Elementary school or unknown,150.000-250.000,Female,34.0,Papirløst partnerskab,Ingen børn,Landområder og landsbyer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,2,2,4.0,Socialistisk Folkeparti,Nej,ja
735,FU782298,Short-cycle tertiary eduation,<150.0000,Male,73.0,Gift eller reg. partnerskab,Ingen børn,,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,4,4,5.0,Dansk Folkeparti,Nej,nej
736,FU567843,Elementary school or unknown,<150.0000,Male,18.0,Enlig,1 barn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,Socialdemokraterne,Nej,nej
737,FU805880,Elementary school or unknown,<150.0000,Male,19.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Grundskole og gym.,Uoplyst,Korte vid. udd,2,77,4.0,Socialdemokraterne,Nej,ja
738,FU186868,Secondary education,<150.0000,Male,56.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,1,1,2.0,Vil stemme blankt,Nej,nej
739,FU270184,Elementary school or unknown,<150.0000,Female,88.0,Enke/enkemand,4 børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,,Socialdemokraterne,Ja,ja
740,FU694395,Elementary school or unknown,150.000-250.000,Female,43.0,Enlig,4 børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,Ukendt,77,1.0,Dansk Folkeparti,Nej,nej
741,FU784564,Secondary education,<150.0000,Male,60.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,4,77,3.0,Det Konservative Folkeparti,Nej,ja
742,FU388576,Elementary school or unknown,<150.0000,Male,18.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,Ukendt,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
743,FU706609,Elementary school or unknown,150.000-250.000,Male,58.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,2.0,Socialdemokraterne,Nej,ja
744,CZ512451,Secondary education,150.000-250.000,Female,72.0,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Erhvervsfaglige uddannelser,Korte vid. udd,Grundskole og gym.,Korte vid. udd,4,2,2.0,Socialdemokraterne,Ja,ja
745,CZ149694,Secondary education,150.000-250.000,Female,80.0,Skilt,2 børn,Mellemstore byer,Korte vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,Socialdemokraterne,Nej,ja
746,FU446691,Secondary education,250.000-350.000,Female,65.0,Papirløst partnerskab,Ingen børn,,Uoplyst,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,3,4,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
747,FU895619,Medium-cycle tertiary eduation,150.000-250.000,Female,36.0,Gift eller reg. partnerskab,Ingen børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,4,1,4.0,Enhedslisten m.fl.,Ja,nej
748,FU677259,Medium-cycle tertiary eduation,150.000-250.000,Male,42.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,Socialistisk Folkeparti,Ja,nej
749,CZ399533,Elementary school or unknown,<150.0000,Male,84.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,1.0,"Venstre, Danmarks Liberale Parti",Nej,ja
750,CZ431741,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,63.0,Enke/enkemand,4 børn,Større provinsbyer,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,4,77,4.0,Socialistisk Folkeparti,Nej,ja
751,CZ399830,Secondary education,<150.0000,Female,42.0,Gift eller reg. partnerskab,5 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,4.0,,Nej,ja
752,CZ682413,"Long-cycle tertiary eduation, Ph.D",150.000-250.000,Male,80.0,Gift eller reg. partnerskab,3 børn,Mellemstore byer,Lang vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
753,FU569239,Secondary education,150.000-250.000,Female,67.0,Enlig,Uoplyst,,Uoplyst,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,Dansk Folkeparti,Nej,ja
754,CZ548876,Elementary school or unknown,<150.0000,Male,22.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,77,1.0,Alternativet,Nej,ja
755,FU420653,Elementary school or unknown,250.000-350.000,Female,60.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
756,CZ114560,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,44.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,3.0,Socialdemokraterne,Nej,nej
757,CZ726102,Medium-cycle tertiary eduation,250.000-350.000,Male,42.0,Papirløst partnerskab,1 barn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,3,4,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
758,FU765968,Secondary education,150.000-250.000,Female,43.0,Skilt,1 barn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,77,3.0,Socialdemokraterne,Nej,ja
759,CZ803321,Elementary school or unknown,150.000-250.000,Male,59.0,Gift eller reg. partnerskab,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,1,4,2.0,Dansk Folkeparti,Nej,ja
760,CZ143709,Secondary education,250.000-350.000,Male,54.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
761,CZ698635,"Long-cycle tertiary eduation, Ph.D",<150.0000,Male,32.0,Papirløst partnerskab,1 barn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Socialdemokraterne,Ja,ja
762,FU835765,Secondary education,250.000-350.000,Female,72.0,Skilt,2 børn,,Uoplyst,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,1.0,Dansk Folkeparti,Nej,ja
763,CZ718192,Secondary education,<150.0000,Male,74.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Ukendt,2,2.0,Socialdemokraterne,Nej,ja
764,FU490246,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,36.0,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,5.0,Det Radikale Venstre,Nej,ja
765,FU197670,Secondary education,150.000-250.000,Male,30.0,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,2,77,2.0,,Nej,ja
766,FU334044,Medium-cycle tertiary eduation,150.000-250.000,Female,58.0,Skilt,2 børn,,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Lang vid. udd,4,77,2.0,Enhedslisten m.fl.,Nej,ja
767,CZ126483,Secondary education,150.000-250.000,Female,67.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,2.0,Det Konservative Folkeparti,Nej,ja
768,FU110773,Short-cycle tertiary eduation,150.000-250.000,Female,60.0,Enke/enkemand,Ingen børn,,Korte vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,3.0,Socialdemokraterne,Nej,ja
769,FU535228,Elementary school or unknown,150.000-250.000,Female,71.0,Gift eller reg. partnerskab,1 barn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Korte vid. udd,Erhvervsfaglige uddannelser,4,2,4.0,Dansk Folkeparti,Nej,ja
770,FU167423,Medium-cycle tertiary eduation,350.000<,Male,42.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,3.0,Alternativet,Nej,ja
771,FU114629,Secondary education,150.000-250.000,Male,45.0,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,2,77,3.0,Vil stemme blankt,Nej,ja
772,FU216079,Secondary education,250.000-350.000,Male,69.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
773,CZ680456,Secondary education,<150.0000,Female,67.0,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,3,2,3.0,Enhedslisten m.fl.,Nej,ja
774,FU221033,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,32.0,Enlig,Ingen børn,,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Grundskole og gym.,4,77,4.0,Alternativet,Ja,nej
775,FU104527,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Grundskole og gym.,4,77,1.0,Socialistisk Folkeparti,Ja,ja
776,CZ634288,Secondary education,150.000-250.000,Female,61.0,Skilt,4 børn,Mellemstore byer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Mellemlange vid. udd,2,77,2.0,Socialistisk Folkeparti,Ja,ja
777,CZ728051,Elementary school or unknown,150.000-250.000,Female,90.0,Enke/enkemand,1 barn,De 3 store provinsbyer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,Socialdemokraterne,Nej,ja
778,CZ278782,Medium-cycle tertiary eduation,150.000-250.000,Female,56.0,Papirløst partnerskab,1 barn,Mindre byer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Lang vid. udd,4,2,2.0,Enhedslisten m.fl.,Nej,ja
779,FU373352,Elementary school or unknown,150.000-250.000,Male,61.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
780,CZ763401,Secondary education,150.000-250.000,Male,64.0,Enlig,1 barn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,2,77,1.0,,Nej,ja
781,FU858630,Medium-cycle tertiary eduation,350.000<,Female,48.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Korte vid. udd,4,3,3.0,Socialdemokraterne,Ja,ja
782,CZ671708,Elementary school or unknown,<150.0000,Female,77.0,Gift eller reg. partnerskab,6 børn eller flere,Større provinsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,2,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
783,CZ554841,Secondary education,150.000-250.000,Male,30.0,Papirløst partnerskab,1 barn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Korte vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,2,3,4.0,Socialdemokraterne,Nej,ja
784,FU620980,Secondary education,150.000-250.000,Female,27.0,Enlig,Uoplyst,,Korte vid. udd,Irrelevant,Korte vid. udd,Korte vid. udd,2,77,2.0,Enhedslisten m.fl.,Ja,nej
785,FU387460,Secondary education,150.000-250.000,Female,43.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,4,2.0,Socialdemokraterne,Nej,nej
786,FU854611,Elementary school or unknown,150.000-250.000,Female,37.0,Gift eller reg. partnerskab,3 børn,,Grundskole og gym.,Uoplyst,Grundskole og gym.,Grundskole og gym.,4,77,1.0,Dansk Folkeparti,Nej,nej
787,FU659718,Secondary education,<150.0000,Male,57.0,Papirløst partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,2.0,Dansk Folkeparti,Ja,ja
788,FU621876,Secondary education,<150.0000,Female,79.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,,"Venstre, Danmarks Liberale Parti",Ja,nej
789,FU153428,Medium-cycle tertiary eduation,150.000-250.000,Female,68.0,Gift eller reg. partnerskab,1 barn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,1.0,Socialdemokraterne,Ja,ja
790,FU695401,Secondary education,250.000-350.000,Male,36.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,5.0,Alternativet,Nej,nej
791,CZ768095,Secondary education,250.000-350.000,Male,51.0,Papirløst partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,1,4.0,Dansk Folkeparti,Ja,ja
792,FU351018,Secondary education,<150.0000,Female,49.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,3,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
793,CZ569562,Medium-cycle tertiary eduation,150.000-250.000,Female,65.0,Enlig,1 barn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,4,77,2.0,Socialdemokraterne,Nej,ja
794,CZ270184,Elementary school or unknown,<150.0000,Female,26.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Korte vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,4.0,Enhedslisten m.fl.,Nej,ja
795,CZ896626,Elementary school or unknown,350.000<,Male,65.0,Papirløst partnerskab,1 barn,Landområder og landsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
796,FU408003,Secondary education,150.000-250.000,Female,53.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,1,4.0,Socialdemokraterne,Nej,ja
797,CZ577039,Elementary school or unknown,<150.0000,Female,44.0,Enlig,Ingen børn,De 3 store provinsbyer,Uoplyst,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,4,77,1.0,Enhedslisten m.fl.,Ja,nej
798,CZ774985,Elementary school or unknown,150.000-250.000,Female,35.0,Gift eller reg. partnerskab,1 barn,Mellemstore byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,Erhvervsfaglige uddannelser,2,2,4.0,Vil stemme blankt,Nej,nej
799,CZ424375,Medium-cycle tertiary eduation,<150.0000,Female,27.0,Enlig,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Lang vid. udd,Lang vid. udd,Ukendt,77,3.0,Socialistisk Folkeparti,Nej,ja
800,CZ564050,Secondary education,<150.0000,Female,70.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Grundskole og gym.,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,2,2,2.0,Det Konservative Folkeparti,Nej,ja
801,CZ689275,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,38.0,Enlig,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Korte vid. udd,Korte vid. udd,4,77,3.0,Det Radikale Venstre,Ja,nej
802,CZ204239,Medium-cycle tertiary eduation,350.000<,Female,87.0,Enke/enkemand,1 barn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,77,1.0,"Venstre, Danmarks Liberale Parti",Nej,ja
803,CZ868306,Secondary education,250.000-350.000,Female,39.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,2,3,4.0,Socialdemokraterne,Nej,ja
804,FU731734,Secondary education,150.000-250.000,Male,63.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,4,3,5.0,Dansk Folkeparti,Nej,ja
805,CZ818263,Secondary education,150.000-250.000,Female,56.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,2,3,3.0,Det Radikale Venstre,Nej,ja
806,FU224089,Secondary education,250.000-350.000,Male,82.0,Enke/enkemand,2 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,2.0,Dansk Folkeparti,Nej,ja
807,CZ246304,Elementary school or unknown,250.000-350.000,Male,34.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,2,1,4.0,Socialdemokraterne,Nej,ja
808,FU738108,Medium-cycle tertiary eduation,150.000-250.000,Female,57.0,Skilt,Ingen børn,,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,Socialdemokraterne,Nej,ja
809,CZ692473,Elementary school or unknown,<150.0000,Male,20.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Lang vid. udd,Ukendt,77,5.0,"Venstre, Danmarks Liberale Parti",Ja,ja
810,CZ430145,Elementary school or unknown,<150.0000,Male,58.0,Gift eller reg. partnerskab,6 børn eller flere,Landområder og landsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Liberal Alliance (tidl. Ny Alliance),Ja,ja
811,FU626734,Elementary school or unknown,<150.0000,Male,78.0,Gift eller reg. partnerskab,Ingen børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,2,2.0,"Venstre, Danmarks Liberale Parti",Nej,nej
812,CZ221124,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,76.0,Enlig,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Lang vid. udd,Ukendt,77,3.0,,Nej,ja
813,FU542834,Elementary school or unknown,150.000-250.000,Female,74.0,Enlig,2 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,Socialistisk Folkeparti,Nej,ja
814,CZ450529,Elementary school or unknown,150.000-250.000,Female,33.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,,,Nej,nej
815,FU226468,Medium-cycle tertiary eduation,150.000-250.000,Female,53.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,1,2,2.0,Socialistisk Folkeparti,Ja,nej
816,CZ621876,Secondary education,150.000-250.000,Female,68.0,Enke/enkemand,Ingen børn,Mellemstore byer,Korte vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Ukendt,77,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
817,FU622747,Elementary school or unknown,250.000-350.000,Female,54.0,Gift eller reg. partnerskab,2 børn,,Uoplyst,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,3,2,3.0,Socialdemokraterne,Nej,ja
818,FU493464,Secondary education,<150.0000,Female,88.0,Enke/enkemand,Ingen børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Uoplyst,Ukendt,77,,Dansk Folkeparti,Nej,nej
819,FU488410,Medium-cycle tertiary eduation,150.000-250.000,Female,62.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
820,FU251396,Medium-cycle tertiary eduation,250.000-350.000,Female,53.0,Gift eller reg. partnerskab,1 barn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,3.0,Enhedslisten m.fl.,Ja,ja
821,FU816269,Secondary education,250.000-350.000,Female,60.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Uoplyst,Grundskole og gym.,Grundskole og gym.,2,3,3.0,Dansk Folkeparti,Nej,ja
822,FU381973,Elementary school or unknown,150.000-250.000,Male,52.0,Enlig,3 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,"Venstre, Danmarks Liberale Parti",Ja,ja
823,CZ652657,Medium-cycle tertiary eduation,250.000-350.000,Female,59.0,Papirløst partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,2,3,4.0,Enhedslisten m.fl.,Nej,ja
824,CZ306878,Elementary school or unknown,<150.0000,Male,20.0,Enlig,Ingen børn,Mindre byer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Uoplyst,2,77,2.0,Dansk Folkeparti,Nej,ja
825,FU826967,Secondary education,150.000-250.000,Male,78.0,Gift eller reg. partnerskab,4 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Dansk Folkeparti,Nej,ja
826,FU834933,Secondary education,150.000-250.000,Male,35.0,Enlig,3 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Mellemlange vid. udd,3,77,4.0,Vil stemme blankt,Nej,nej
827,FU656186,Secondary education,150.000-250.000,Female,44.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,2.0,Dansk Folkeparti,Nej,ja
